iter	Passed	Remaining
0	162	161876
1	162	81303
2	163	54307
3	163	40743
4	164	32733
5	165	27345
6	165	23481
7	166	20620
8	167	18392
9	167	16598
10	168	15119
11	168	13886
12	169	12844
13	169	11969
14	170	11179
15	170	10507
16	171	9909
17	172	9392
18	172	8917
19	173	8495
20	174	8117
21	174	7772
22	175	7448
23	176	7161
24	176	6897
25	177	6651
26	178	6421
27	178	6207
28	179	6004
29	179	5816
30	180	5642
31	181	5483
32	182	5338
33	182	5192
34	183	5058
35	184	4927
36	184	4800
37	184	4680
38	185	4565
39	185	4462
40	186	4362
41	187	4266
42	187	4173
43	187	4082
44	188	3998
45	189	3920
46	189	3847
47	190	3777
48	191	3707
49	191	3641
50	192	3579
51	192	3513
52	193	3454
53	193	3396
54	194	3343
55	195	3289
56	195	3238
57	196	3191
58	197	3144
59	197	3098
60	198	3051
61	198	3004
62	199	2962
63	199	2922
64	200	2885
65	201	2847
66	201	2808
67	202	2773
68	202	2735
69	203	2701
70	203	2668
71	204	2635
72	205	2605
73	205	2573
74	206	2544
75	206	2516
76	207	2487
77	208	2460
78	208	2433
79	209	2407
80	209	2381
81	210	2356
82	211	2331
83	211	2306
84	212	2284
85	212	2258
86	213	2236
87	213	2214
88	214	2192
89	214	2171
90	215	2150
91	215	2130
92	216	2110
93	217	2091
94	217	2073
95	218	2055
96	218	2038
97	219	2021
98	220	2003
99	220	1986
100	221	1969
101	221	1952
102	222	1937
103	223	1921
104	223	1908
105	224	1893
106	225	1878
107	225	1864
108	226	1850
109	226	1835
110	227	1821
111	228	1807
112	228	1793
113	229	1780
114	229	1766
115	230	1754
116	230	1742
117	231	1728
118	231	1716
119	232	1704
120	233	1692
121	233	1681
122	234	1669
123	234	1657
124	235	1646
125	235	1635
126	236	1624
127	236	1614
128	237	1603
129	238	1594
130	238	1584
131	239	1573
132	239	1563
133	240	1554
134	241	1544
135	241	1535
136	242	1527
137	243	1518
138	243	1507
139	243	1498
140	244	1489
141	245	1480
142	245	1471
143	246	1463
144	246	1454
145	247	1446
146	247	1438
147	248	1430
148	249	1422
149	249	1414
150	250	1406
151	250	1398
152	251	1390
153	251	1383
154	252	1375
155	252	1368
156	253	1360
157	253	1353
158	254	1346
159	255	1339
160	255	1332
161	256	1326
162	256	1319
163	257	1312
164	258	1306
165	258	1299
166	259	1293
167	259	1286
168	260	1280
169	260	1273
170	261	1267
171	261	1261
172	262	1254
173	263	1248
174	263	1243
175	264	1237
176	264	1231
177	265	1225
178	265	1219
179	266	1213
180	266	1208
181	267	1202
182	268	1196
183	268	1191
184	269	1186
185	269	1180
186	270	1176
187	271	1171
188	271	1166
189	272	1161
190	273	1157
191	273	1152
192	274	1147
193	274	1142
194	275	1137
195	276	1132
196	276	1127
197	277	1123
198	277	1118
199	278	1113
200	278	1108
201	279	1104
202	280	1100
203	280	1095
204	281	1091
205	281	1086
206	282	1081
207	282	1077
208	283	1072
209	283	1068
210	284	1064
211	285	1059
212	285	1055
213	286	1051
214	286	1046
215	287	1042
216	287	1038
217	288	1033
218	288	1029
219	289	1025
220	289	1021
221	290	1017
222	290	1013
223	291	1009
224	291	1005
225	292	1001
226	293	998
227	293	994
228	294	990
229	294	987
230	295	983
231	295	979
232	296	976
233	297	972
234	297	969
235	298	966
236	299	962
237	299	959
238	300	955
239	300	952
240	301	948
241	301	945
242	302	941
243	302	937
244	303	934
245	303	931
246	304	928
247	304	924
248	305	921
249	306	918
250	306	915
251	307	911
252	307	908
253	308	905
254	308	902
255	309	899
256	309	895
257	310	893
258	311	890
259	311	887
260	312	884
261	312	881
262	313	877
263	313	875
264	314	872
265	315	869
266	315	866
267	316	863
268	316	861
269	317	858
270	318	855
271	318	852
272	319	849
273	319	847
274	320	844
275	320	841
276	321	838
277	321	835
278	322	833
279	323	831
280	323	828
281	324	825
282	325	823
283	325	820
284	326	818
285	326	815
286	327	813
287	328	811
288	328	808
289	329	806
290	329	803
291	330	801
292	330	798
293	331	795
294	332	793
295	332	790
296	333	788
297	333	785
298	334	783
299	334	780
300	335	778
301	336	776
302	336	774
303	337	772
304	337	769
305	338	767
306	338	765
307	339	762
308	339	760
309	340	757
310	341	755
311	341	753
312	342	751
313	342	748
314	343	746
315	343	744
316	344	742
317	345	739
318	345	737
319	346	735
320	346	733
321	347	731
322	348	729
323	348	727
324	349	725
325	349	722
326	350	720
327	350	718
328	351	716
329	351	714
330	352	712
331	352	710
332	353	708
333	354	706
334	354	704
335	355	702
336	356	700
337	356	698
338	357	696
339	357	694
340	358	692
341	358	690
342	359	688
343	360	686
344	361	685
345	361	683
346	362	681
347	362	680
348	363	678
349	364	676
350	364	674
351	365	673
352	366	672
353	367	670
354	368	669
355	368	667
356	369	665
357	370	663
358	370	661
359	371	660
360	371	658
361	372	656
362	373	654
363	373	652
364	374	651
365	374	649
366	375	647
367	375	645
368	376	643
369	377	642
370	377	640
371	378	638
372	378	636
373	379	635
374	380	633
375	380	631
376	381	629
377	381	628
378	382	626
379	382	624
380	383	622
381	383	621
382	384	619
383	385	617
384	385	616
385	386	614
386	386	612
387	387	610
388	387	609
389	388	607
390	388	605
391	389	603
392	389	602
393	390	600
394	391	598
395	391	597
396	392	595
397	392	594
398	393	592
399	393	590
400	394	589
401	394	587
402	395	585
403	395	584
404	396	582
405	397	581
406	398	579
407	398	578
408	399	577
409	400	575
410	400	574
411	401	572
412	401	571
413	402	569
414	402	567
415	403	566
416	404	564
417	404	563
418	405	561
419	405	560
420	406	558
421	406	557
422	407	555
423	407	554
424	408	552
425	408	551
426	409	549
427	410	548
428	410	546
429	411	545
430	412	543
431	412	542
432	413	540
433	413	539
434	414	537
435	414	536
436	415	534
437	415	533
438	416	532
439	417	530
440	417	529
441	418	528
442	418	526
443	419	525
444	420	523
445	420	522
446	421	520
447	421	519
448	422	518
449	422	516
450	423	515
451	423	513
452	424	512
453	424	511
454	425	509
455	426	508
456	426	506
457	427	505
458	427	504
459	428	502
460	428	501
461	429	500
462	430	498
463	430	497
464	431	496
465	432	495
466	432	493
467	433	492
468	434	491
469	434	490
470	435	489
471	436	487
472	436	486
473	437	485
474	437	484
475	438	482
476	439	481
477	439	480
478	440	478
479	440	477
480	441	476
481	442	475
482	442	473
483	443	472
484	443	471
485	444	469
486	444	468
487	445	467
488	446	466
489	446	465
490	447	463
491	447	462
492	448	461
493	449	459
494	449	458
495	450	457
496	450	456
497	451	454
498	451	453
499	452	452
500	453	451
501	453	450
502	454	448
503	454	447
504	455	446
505	455	445
506	456	443
507	457	442
508	457	441
509	458	440
510	458	438
511	459	437
512	459	436
513	460	435
514	460	434
515	461	432
516	462	431
517	462	430
518	463	429
519	463	427
520	464	426
521	464	425
522	465	424
523	466	423
524	466	422
525	467	420
526	467	419
527	468	418
528	468	417
529	469	416
530	469	414
531	470	413
532	470	412
533	471	411
534	472	410
535	472	409
536	473	408
537	473	406
538	474	405
539	475	404
540	475	403
541	476	402
542	476	401
543	477	400
544	477	398
545	478	397
546	478	396
547	479	395
548	480	394
549	480	393
550	481	392
551	481	390
552	482	389
553	482	388
554	483	387
555	483	386
556	484	385
557	485	384
558	485	383
559	486	382
560	486	381
561	487	379
562	487	378
563	488	377
564	489	376
565	489	375
566	490	374
567	490	373
568	491	372
569	491	370
570	492	369
571	492	368
572	493	367
573	493	366
574	494	365
575	495	364
576	495	363
577	496	362
578	496	361
579	497	360
580	498	359
581	498	358
582	499	357
583	500	356
584	500	355
585	501	354
586	502	353
587	502	352
588	503	351
589	503	350
590	504	349
591	505	348
592	505	346
593	506	345
594	506	344
595	507	343
596	507	342
597	508	341
598	510	342
599	511	341
600	512	340
601	513	339
602	513	338
603	514	337
604	515	336
605	516	335
